Time,ADC Value,Voltage,Humidity,Temperature,Heat Index
25,733,0.59,45.00,22.60,22.09
26,699,0.56,45.00,22.60,22.09
27,735,0.59,45.00,22.60,22.09
28,698,0.56,45.00,22.60,22.09
29,735,0.59,45.00,22.60,22.09
30,701,0.56,45.00,22.60,22.09
31,739,0.60,45.00,22.60,22.09
32,699,0.56,45.00,22.60,22.09
33,733,0.59,45.00,22.60,22.09
34,699,0.56,45.00,22.60,22.09
35,736,0.59,45.00,22.60,22.09
36,700,0.56,45.00,22.60,22.09
37,734,0.59,45.00,22.60,22.09
38,699,0.56,45.00,22.60,22.09
39,735,0.59,45.00,22.60,22.09
40,699,0.56,45.00,22.60,22.09
41,734,0.59,45.00,22.60,22.09
42,694,0.56,45.00,22.60,22.09
43,727,0.59,45.00,22.60,22.09
