Time,Voltage 1,Voltage 2,Voltage 3, Voltage 4,Resistance 1,Resistance 2,Resistance 3,Resistance 4,
24,0.57,1.7,1.66,2.87,69527.47253,87337.5,83202.43902,373767.4419,
25,0.56,1.7,1.66,2.86,68058.39416,87337.5,83202.43902,364000,
26,0.57,1.7,1.67,2.85,69527.47253,87337.5,84217.17791,354666.6667,
27,0.55,1.7,1.67,2.87,66600,87337.5,84217.17791,373767.4419,
28,0.56,1.7,1.65,2.85,68058.39416,87337.5,82200,354666.6667,
29,0.57,1.7,1.67,2.85,69527.47253,87337.5,84217.17791,354666.6667,
30,0.56,1.7,1.66,2.86,68058.39416,87337.5,83202.43902,364000,
31,0.57,1.71,1.67,2.87,69527.47253,88403.77358,84217.17791,373767.4419,
32,0.57,1.71,1.67,2.86,69527.47253,88403.77358,84217.17791,364000,
33,0.57,1.71,1.66,2.86,69527.47253,88403.77358,83202.43902,364000,
34,0.57,1.71,1.66,2.88,69527.47253,88403.77358,83202.43902,384000,
35,0.56,1.7,1.66,2.85,68058.39416,87337.5,83202.43902,354666.6667,
36,0.56,1.72,1.66,2.86,68058.39416,89483.5443,83202.43902,364000,
37,0.56,1.71,1.66,2.86,68058.39416,88403.77358,83202.43902,364000,
38,0.56,1.71,1.66,2.86,68058.39416,88403.77358,83202.43902,364000,
39,0.56,1.71,1.66,2.86,68058.39416,88403.77358,83202.43902,364000,
43,0.57,1.72,1.66,2.88,69527.47253,89483.5443,83202.43902,384000,
44,0.55,1.72,1.66,2.87,66600,89483.5443,83202.43902,373767.4419,
45,0.57,1.72,1.67,2.88,69527.47253,89483.5443,84217.17791,384000,
46,0.56,1.72,1.66,2.86,68058.39416,89483.5443,83202.43902,364000,
47,0.57,1.71,1.66,2.86,69527.47253,88403.77358,83202.43902,364000,
48,0.57,1.72,1.67,2.88,69527.47253,89483.5443,84217.17791,384000,
49,0.56,1.72,1.66,2.88,68058.39416,89483.5443,83202.43902,384000,
50,0.57,1.71,1.66,2.88,69527.47253,88403.77358,83202.43902,384000,
51,0.57,1.72,1.66,2.88,69527.47253,89483.5443,83202.43902,384000,
52,0.57,1.71,1.67,2.87,69527.47253,88403.77358,84217.17791,373767.4419,
53,0.56,1.71,1.66,2.86,68058.39416,88403.77358,83202.43902,364000,
54,0.56,1.71,1.67,2.88,68058.39416,88403.77358,84217.17791,384000,
55,0.56,1.72,1.66,2.86,68058.39416,89483.5443,83202.43902,364000,
56,0.56,1.72,1.66,2.86,68058.39416,89483.5443,83202.43902,364000,
57,0.57,1.71,1.66,2.87,69527.47253,88403.77358,83202.43902,373767.4419,
58,0.56,1.72,1.66,2.86,68058.39416,89483.5443,83202.43902,364000,
59,0.57,1.72,1.67,2.86,69527.47253,89483.5443,84217.17791,364000,
60,0.55,1.71,1.66,2.87,66600,88403.77358,83202.43902,373767.4419,
61,0.57,1.72,1.66,2.86,69527.47253,89483.5443,83202.43902,364000,
62,0.56,1.71,1.68,2.88,68058.39416,88403.77358,85244.44444,384000,
63,0.56,1.72,1.67,2.88,68058.39416,89483.5443,84217.17791,384000,
64,0.56,1.71,1.68,2.87,68058.39416,88403.77358,85244.44444,373767.4419,
65,0.57,1.71,1.68,2.87,69527.47253,88403.77358,85244.44444,373767.4419,
66,0.57,1.71,1.67,2.86,69527.47253,88403.77358,84217.17791,364000,
67,0.57,1.71,1.68,2.86,69527.47253,88403.77358,85244.44444,364000,
68,0.56,1.71,1.66,2.86,68058.39416,88403.77358,83202.43902,364000,
69,0.56,1.72,1.68,2.87,68058.39416,89483.5443,85244.44444,373767.4419,
